pass,lambda,K,psnr,ssim,score
1,0.01,0.02,22.38512002783786,0.4527499207349889,-0.852801968963638
1,0.01,0.0293559853524414,24.7649909391748,0.610761301658444,-0.5123325059375937
1,0.01,0.04308869380063767,27.83831514169281,0.8226548229826688,-0.06706194195156882
1,0.01,0.0632455532033676,27.85157425579931,0.8297760161924822,-0.06139571643110837
1,0.01,0.09283177667225556,26.16527206571379,0.7917268938244415,-0.2368413294732899
1,0.01,0.1362584138115923,23.73814367376292,0.7382864539330114,-0.4886666217211309
1,0.01,0.2,22.03116959670514,0.7049283488321499,-0.663574398366744
1,0.02075781631112426,0.02,22.35641147332768,0.4511731201084641,-0.8565369539796478
1,0.02075781631112426,0.0293559853524414,24.71259356854687,0.6070633096284965,-0.5200730275142317
1,0.02075781631112426,0.04308869380063767,27.82059418653131,0.8215559409868859,-0.06940529016122726
1,0.02075781631112426,0.0632455532033676,27.90688946700702,0.8316280115211572,-0.05533889040193252
1,0.02075781631112426,0.09283177667225556,26.26307490439487,0.7951090327929881,-0.226048364277065
1,0.02075781631112426,0.1362584138115923,23.85459452180274,0.7432207552059388,-0.4753454955624927
1,0.02075781631112426,0.2,22.137439653662,0.7105545640954105,-0.6508809364306521
1,0.04308869380063767,0.02,22.29822788179953,0.4479924364628249,-0.8640899816612524
1,0.04308869380063767,0.0293559853524414,24.60459200173428,0.5994175367861529,-0.5360552630156213
1,0.04308869380063767,0.04308869380063767,27.77592372143634,0.8186712458811116,-0.07543151943187849
1,0.04308869380063767,0.0632455532033676,28.01179623091388,0.8348092972564465,-0.04406006451146793
1,0.04308869380063767,0.09283177667225556,26.45704573678918,0.8012834942586557,-0.2049549784712916
1,0.04308869380063767,0.1362584138115923,24.08983154882845,0.752468145487869,-0.4488776235829601
1,0.04308869380063767,0.2,22.35173104904254,0.7211568106759976,-0.625763266178334
1,0.0894427190999916,0.02,22.18349781919095,0.4417848947163349,-0.8789121546032928
1,0.0894427190999916,0.0293559853524414,24.38499110941009,0.5837996724557565,-0.5686372211499646
1,0.0894427190999916,0.04308869380063767,27.65302333873812,0.8103345152913215,-0.09254312799676026
1,0.0894427190999916,0.0632455532033676,28.18872218553634,0.8388781013092493,-0.02569783601566256
1,0.0894427190999916,0.09283177667225556,26.82098877078748,0.8108612046106904,-0.1664481301811379
1,0.0894427190999916,0.1362584138115923,24.55048583077006,0.7678330251311083,-0.3985928734176875
1,0.0894427190999916,0.2,22.77103850565014,0.7390199053377736,-0.5783098126122203
1,0.1856635533445112,0.02,21.97101043197936,0.4305092745524641,-0.9061194504018412
1,0.1856635533445112,0.0293559853524414,23.95779363250118,0.5535441048334178,-0.6318922108324508
1,0.1856635533445112,0.04308869380063767,27.29966922876989,0.7851891376518302,-0.1438224677370893
1,0.1856635533445112,0.0632455532033676,28.40038179525994,0.8388703717446699,-0.007233401387964534
1,0.1856635533445112,0.09283177667225556,27.41589497992837,0.8199345085468545,-0.1067287050930509
1,0.1856635533445112,0.1362584138115923,25.38861667675015,0.7867545003789612,-0.3115183674381274
1,0.1856635533445112,0.2,23.54501003955999,0.7620955661446414,-0.4956382023086711
1,0.3853969935995983,0.02,21.62985565344659,0.4130893321455213,-0.9490497840322581
1,0.3853969935995983,0.0293559853524414,23.22549613085367,0.5041755585641359,-0.7375162662851437
1,0.3853969935995983,0.04308869380063767,26.3716569609949,0.7174986737755378,-0.2825069354636985
1,0.3853969935995983,0.0632455532033676,28.3464377590105,0.8170867743764874,-0.04119433905447058
1,0.3853969935995983,0.09283177667225556,28.06811691635721,0.8118640826024629,-0.06072180402940386
1,0.3853969935995983,0.1362584138115923,26.63312658136159,0.7924286955160555,-0.1939333833456999
1,0.3853969935995983,0.2,24.83323261178468,0.7740186146997232,-0.3693015272783435
1,0.8,0.02,21.21478199104807,0.3930723540276064,-1
